epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,1180.29,0.57849,0.47011,1.02951,0.89223,0.85,0.90944,0.71621,1.3295,1.12417,2.23598,0.000247717,0.000247717,0.000247717
169,1185.99,0.57219,0.50582,1.03664,0.93899,0.80621,0.91329,0.72093,1.3417,1.10122,2.21528,0.000240644,0.000240644,0.000240644
170,1195.15,0.54294,0.44315,1.00766,0.94067,0.79621,0.90503,0.71728,1.31801,1.03922,2.22947,0.00023357,0.00023357,0.00023357
171,1201,0.55719,0.4711,1.02688,0.89546,0.8097,0.91049,0.71932,1.33822,1.04548,2.24263,0.000226497,0.000226497,0.000226497
172,1207.43,0.55599,0.46691,1.03529,0.89307,0.78676,0.90235,0.71516,1.29658,0.92412,2.2037,0.000219423,0.000219423,0.000219423
173,1215.62,0.5167,0.44933,0.99976,0.81335,0.82866,0.90587,0.6929,1.24829,0.91511,2.08483,0.000212349,0.000212349,0.000212349
174,1221.13,0.55243,0.46259,1.02559,0.91652,0.72544,0.91378,0.65918,1.23402,0.93599,2.07422,0.000205276,0.000205276,0.000205276
175,1227.71,0.57008,0.48012,1.02296,0.93182,0.72142,0.91295,0.67854,1.28026,0.98079,2.17738,0.000198202,0.000198202,0.000198202
176,1235.72,0.55637,0.46915,1.03026,0.92016,0.7,0.87907,0.64642,1.26878,1.14461,2.1245,0.000191129,0.000191129,0.000191129
177,1241.51,0.5502,0.47471,1.01868,0.91557,0.68124,0.87335,0.64177,1.25772,1.26272,2.09464,0.000184055,0.000184055,0.000184055
178,1249.04,0.53581,0.50602,1.02361,0.89609,0.69641,0.85683,0.67436,1.27287,1.26043,2.12695,0.000176982,0.000176982,0.000176982
179,1256.23,0.51882,0.43172,1.00094,0.8792,0.7,0.83389,0.65888,1.26737,1.19414,2.09444,0.000169908,0.000169908,0.000169908
